title,condition,transmission,make,model,year,location,price
Honda Odyssey 2007 Gray,foreign used,automatic,Honda,Odyssey,2007,Ikeja,"₦ 8,850,000"
Land Rover Range Rover 2023 Black,foreign used,automatic,Land,Rover,,Idu Industrial,"₦ 365,000,000"
Lexus ES 350 2008 Red,local used,automatic,Lexus,ES,,Alimosho,"₦ 7,250,000"
Chrysler 200 C 2WD 2016 Red,foreign used,automatic,Chrysler,200,,Alimosho,"₦ 11,000,000"
Toyota Venza AWD 2010 Gray,foreign used,automatic,Toyota,Venza,,Ogba,"₦ 14,200,000"
Kia Sportage SX 4dr SUV AWD (2.0L 4cyl Turbo 6A) 2017 Gold,foreign used,automatic,Kia,Sportage,,Apapa,"₦ 28,500,000"
Toyota Highlander SE 2012 Blue,foreign used,automatic,Toyota,Highlander,,Ibadan,"₦ 19,500,000"
Toyota Sienna 2015 White,foreign used,automatic,Toyota,Sienna,2015,Agege,"₦ 21,000,000"
Mazda Demio 2002 Blue,foreign used,manual,Mazda,Demio,2002,Ifako-Ijaiye,"₦ 4,500,000"
Acura MDX 2008 Gray,foreign used,automatic,Acura,MDX,2008,Amuwo-Odofin,"₦ 11,500,000"
Toyota Camry 2008 Black,local used,automatic,Toyota,Camry,2008,Ikeja,"₦ 7,200,000"
Nissan Frontier 2001 Green,local used,automatic,Nissan,Frontier,2001,Gudu,"₦ 7,800,000"
Lexus ES 330 2005 White,local used,automatic,Lexus,ES,,Ajah,"₦ 5,700,000"
Toyota Sienna XLE 7 Passenger 2010 Blue,local used,automatic,Toyota,Sienna,,Ajah,"₦ 6,700,000"
Lexus GX 460 Premium 2013 Burgundy,local used,automatic,Lexus,GX,,Ikoyi,"₦ 30,500,000"
Volkswagen Passat 2013 Gray,local used,automatic,Volkswagen,Passat,2013,Katampe,"₦ 8,000,000"
Honda Accord 2016 White,local used,automatic,Honda,Accord,2016,Central Business District,"₦ 9,200,000"
Mercedes-Benz M Class ML 350 4Matic 2012 White,local used,automatic,,,,Lekki,"₦ 16,900,000"
Mercedes-Benz C300 Luxury Sedan RWD (2.0L 4cyl 7A) 2016 White,local used,automatic,,,,Lekki,"₦ 13,200,000"
Toyota Matrix 2003 Gray,local used,automatic,Toyota,Matrix,2003,Gbagada,"₦ 4,300,000"
Ford Edge SEL 4dr AWD (3.5L 6cyl 6A) 2013 Brown,foreign used,automatic,Ford,Edge,,Ojodu,"₦ 14,500,000"
Toyota Camry 2012 Red,local used,automatic,Toyota,Camry,2012,Sagamu,"₦ 11,800,000"
Mercedes-Benz C240 2.6 4MATIC AWD 2004 Black,local used,automatic,,,,Owerri,"₦ 1,500,000"
Lexus RX 330 2006 Gray,local used,automatic,Lexus,RX,,Port-Harcourt,"₦ 5,500,000"
Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2015 Silver,foreign used,automatic,Toyota,Highlander,,Ikeja,"₦ 29,000,000"
Lexus ES 350 2008 Blue,local used,automatic,Lexus,ES,,Ado Ekiti,"₦ 8,000,000"
Peugeot 206 2004 Black,local used,automatic,Peugeot,206,2004,Karu,"₦ 3,543,750"
Honda CR-V 2009 Gray,local used,automatic,Honda,CR-V,2009,Gwarinpa,"₦ 8,500,000"
Honda Accord 2005 Black,local used,automatic,Honda,Accord,2005,Lekki,"₦ 2,900,000"
Toyota Corolla S 2007 Red,local used,automatic,Toyota,Corolla,,Oluyole,"₦ 6,300,000"
Hyundai Elantra GLS Sedan FWD (1.8L 4cyl 6A) 2013 Black,local used,automatic,Hyundai,Elantra,,Ikeja,"₦ 7,000,000"
Peugeot 206 2005 Blue,foreign used,automatic,Peugeot,206,2005,Amuwo-Odofin,"₦ 4,900,000"
Toyota Sienna XLE 7 Passenger 2010 Gold,local used,automatic,Toyota,Sienna,,Isolo,"₦ 7,800,000"
